snr,cqi,mcs
1.6,5.0,8
1.6,6.0,8
1.6,7.0,8
1.6,8.0,8
1.6,9.0,8
1.6,10.0,8
1.6,11.0,8
1.6,12.0,8
1.6,13.0,8
1.6,14.0,8
1.6,15.0,8
1.8,0.0,8
1.8,1.0,8
1.8,2.0,8
1.8,3.0,8
1.8,4.0,8
1.8,5.0,8
1.8,6.0,8
1.8,7.0,8
1.8,8.0,8
1.8,9.0,8
1.8,10.0,8
1.8,11.0,8
1.8,12.0,8
1.8,13.0,8
1.8,14.0,8
1.8,15.0,8
2.0,0.0,8
2.0,1.0,8
2.0,2.0,8
2.0,3.0,8
2.0,4.0,8
2.0,5.0,8
2.0,6.0,8
2.0,7.0,8
2.0,8.0,8
2.0,9.0,8
2.0,10.0,8
2.0,11.0,8
2.0,12.0,8
2.0,13.0,8
2.0,14.0,8
2.0,15.0,8
2.2,0.0,8
2.2,1.0,8
2.2,2.0,8
2.2,3.0,8
2.2,4.0,8
2.2,5.0,8
2.2,6.0,8
2.2,7.0,8
2.2,8.0,8
2.2,9.0,8
2.2,10.0,8
2.2,11.0,8
2.2,12.0,8
2.2,13.0,8
2.2,14.0,8
2.2,15.0,8
2.4000000000000004,0.0,9
2.4000000000000004,1.0,9
2.4000000000000004,2.0,9
2.4000000000000004,3.0,9
2.4000000000000004,4.0,9
2.4000000000000004,5.0,9
2.4000000000000004,6.0,9
2.4000000000000004,7.0,9
2.4000000000000004,8.0,9
2.4000000000000004,9.0,9
2.4000000000000004,10.0,9
2.4000000000000004,11.0,9
2.4000000000000004,12.0,9
2.4000000000000004,13.0,9
2.4000000000000004,14.0,9
2.4000000000000004,15.0,9
2.6,0.0,9
2.6,1.0,9
2.6,2.0,9
2.6,3.0,9
2.6,4.0,9
2.6,5.0,9
2.6,6.0,9
2.6,7.0,9
2.6,8.0,9
2.6,9.0,9
2.6,10.0,9
2.6,11.0,9
2.6,12.0,9
2.6,13.0,9
2.6,14.0,9
2.6,15.0,9
