snr,cqi,ele_angle,mcs
-8.083817479584761,8.0,30.0,5
-8.083817479584761,8.0,35.0,5
-8.083817479584761,8.0,40.0,6
-8.083817479584761,8.0,45.0,6
-8.083817479584761,8.0,50.0,6
-8.083817479584761,8.0,55.0,7
-8.083817479584761,8.0,60.0,7
-8.083817479584761,8.0,65.0,7
-8.083817479584761,8.0,70.0,7
-8.083817479584761,9.0,0.0,4
-8.083817479584761,9.0,5.0,5
-8.083817479584761,9.0,10.0,5
-8.083817479584761,9.0,15.0,5
-8.083817479584761,9.0,20.0,5
-8.083817479584761,9.0,25.0,5
-8.083817479584761,9.0,30.0,6
-8.083817479584761,9.0,35.0,6
-8.083817479584761,9.0,40.0,6
-8.083817479584761,9.0,45.0,6
-8.083817479584761,9.0,50.0,7
-8.083817479584761,9.0,55.0,7
-8.083817479584761,9.0,60.0,7
-8.083817479584761,9.0,65.0,7
-8.083817479584761,9.0,70.0,8
-8.083817479584761,10.0,0.0,5
-8.083817479584761,10.0,5.0,5
-8.083817479584761,10.0,10.0,5
-8.083817479584761,10.0,15.0,5
-8.083817479584761,10.0,20.0,6
-8.083817479584761,10.0,25.0,6
-8.083817479584761,10.0,30.0,6
-8.083817479584761,10.0,35.0,6
-8.083817479584761,10.0,40.0,7
-8.083817479584761,10.0,45.0,7
-8.083817479584761,10.0,50.0,7
-8.083817479584761,10.0,55.0,7
-8.083817479584761,10.0,60.0,7
-8.083817479584761,10.0,65.0,8
-8.083817479584761,10.0,70.0,8
-7.883817479584762,0.0,0.0,3
-7.883817479584762,0.0,5.0,2
-7.883817479584762,0.0,10.0,3
-7.883817479584762,0.0,15.0,3
-7.883817479584762,0.0,20.0,3
-7.883817479584762,0.0,25.0,4
-7.883817479584762,0.0,30.0,4
-7.883817479584762,0.0,35.0,5
-7.883817479584762,0.0,40.0,5
-7.883817479584762,0.0,45.0,5
-7.883817479584762,0.0,50.0,5
-7.883817479584762,0.0,55.0,5
-7.883817479584762,0.0,60.0,6
-7.883817479584762,0.0,65.0,6
-7.883817479584762,0.0,70.0,7
-7.883817479584762,1.0,0.0,2
-7.883817479584762,1.0,5.0,2
-7.883817479584762,1.0,10.0,2
-7.883817479584762,1.0,15.0,2
-7.883817479584762,1.0,20.0,3
-7.883817479584762,1.0,25.0,4
-7.883817479584762,1.0,30.0,4
-7.883817479584762,1.0,35.0,4
-7.883817479584762,1.0,40.0,4
-7.883817479584762,1.0,45.0,4
-7.883817479584762,1.0,50.0,4
-7.883817479584762,1.0,55.0,4
-7.883817479584762,1.0,60.0,4
-7.883817479584762,1.0,65.0,4
-7.883817479584762,1.0,70.0,6
